"Monitoramento Peão Barretos 2026 - Smart Events (2460)"

"Save Time:2026-08-21 14:03:34"

"User Name:80497131"

"Total 351 records"

"Object","Period(minute)","Start Time","L.RRC.ConnReq.Succ(None)","L.RRC.ConnReq.Att(None)","L.E-RAB.SuccEst(None)","L.S1Sig.ConnEst.Att(None)","L.S1Sig.ConnEst.Succ(None)","L.E-RAB.AttEst(None)","L.E-RAB.AbnormRel(None)","L.E-RAB.AbnormRel.MME(None)","L.E-RAB.Rel.MME(None)","L.E-RAB.NormRel(None)","L.Cell.Unavail.Dur.Sys(s)","L.Cell.Unavail.Dur.Manual(s)","L.Thrp.Time.DL.RmvLastTTI(ms)","L.Thrp.bits.UL(bit)","L.Thrp.bits.DL(bit)","L.Thrp.bits.UE.UL.LastTTI(bit)","L.Thrp.bits.DL.LastTTI(bit)","L.Thrp.Time.UE.UL.RmvLastTTI(ms)","L.UL.Interference.Avg(dBm)","L.ChMeas.PRB.UL.Avail(None)","L.ChMeas.PRB.DL.Avail(None)","L.ChMeas.PRB.UL.Used.Avg(None)","L.ChMeas.PRB.DL.Used.Avg(None)","L.Traffic.User.Avg(None)"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=161, Cell Name=VRX6181, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","12","12","20","12","12","20","0","0","0","18","","","","","8372712","","","","","","","","","10.867"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=143, Cell Name=VRX6173, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","1","1","2","1","1","2","0","0","0","0","","","","","773528","","","","","","","","","0.667"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=163, Cell Name=VRX6183, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","2494816","","","","","","","","","0.617"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=162, Cell Name=VRX6182, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","156784","","","","","","","","","1.533"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=172, Cell Name=URX6152, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","7944","","","","","","","","","0.067"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=171, Cell Name=URX6151, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","0","","","","","","","","","0"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=181, Cell Name=URX6161, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","0","","","","","","","","","0"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=173, Cell Name=URX6153, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","1126232","","","","","","","","","0.233"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=183, Cell Name=URX6163, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","2","2","0","2","2","0","0","0","0","0","","","","","0","","","","","","","","","0"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=182, Cell Name=URX6162, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","0","","","","","","","","","0"
