Alarm Group ID,Alarm Group Name,Alarm ID,Alarm Name,Alarm Severity
268390526,BTS5900 5G,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390522,BTS5900 LTE,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390417,BTS3900,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
100000,OSS,1522,ALM-Traffic Threshold Alarm (Major),Major
100000,OSS,1521,ALM-Traffic Threshold Alarm (Minor),Minor
100000,OSS,1520,ALM-Traffic Threshold Alarm (Warning),Warning
100000,OSS,1525,ALM-Users Threshold Alarm (Major),Major
100000,OSS,1524,ALM-Users Threshold Alarm (Minor),Minor
100000,OSS,1523,ALM-Users Threshold Alarm (Warning),Warning
8193,GBTS,3450,APC alarm,Major
268390408,BSC6910GSM,3450,APC alarm,Major
8193,GBTS,3952,APM Board Communication Alarm,Major
268390408,BSC6910GSM,3952,APM Board Communication Alarm,Major
8193,GBTS,3924,APMU extended B1 alarm,Warning
268390408,BSC6910GSM,3924,APMU extended B1 alarm,Warning
8193,GBTS,3944,APMU extended BB alarm,Warning
268390408,BSC6910GSM,3944,APMU extended BB alarm,Warning
8193,GBTS,3946,APMU extended BC alarm,Warning
268390408,BSC6910GSM,3946,APMU extended BC alarm,Warning
8193,GBTS,3956,APMU extended C1 alarm,Warning
268390408,BSC6910GSM,3956,APMU extended C1 alarm,Warning
8193,GBTS,3958,APMU extended C2 alarm,Warning
268390408,BSC6910GSM,3958,APMU extended C2 alarm,Warning
8193,GBTS,3982,APMU extended CE alarm,Warning
268390408,BSC6910GSM,3982,APMU extended CE alarm,Warning
8193,GBTS,3984,APMU extended CF alarm,Warning
268390408,BSC6910GSM,3984,APMU extended CF alarm,Warning
8193,GBTS,3986,APMU extended D0 alarm,Warning
268390408,BSC6910GSM,3986,APMU extended D0 alarm,Warning
8193,GBTS,3988,APMU extended D1 alarm,Warning
268390408,BSC6910GSM,3988,APMU extended D1 alarm,Warning
8193,GBTS,3990,APMU extended D2 alarm,Warning
268390408,BSC6910GSM,3990,APMU extended D2 alarm,Warning
8193,GBTS,3992,APMU extended D3 alarm,Warning
268390408,BSC6910GSM,3992,APMU extended D3 alarm,Warning
8193,GBTS,3994,APMU extended D4 alarm,Warning
268390408,BSC6910GSM,3994,APMU extended D4 alarm,Warning
8193,GBTS,3996,APMU extended D5 alarm,Warning
268390408,BSC6910GSM,3996,APMU extended D5 alarm,Warning
8193,GBTS,3998,APMU extended D6 alarm,Warning
268390408,BSC6910GSM,3998,APMU extended D6 alarm,Warning
8193,GBTS,4000,APMU extended D7 alarm,Warning
268390408,BSC6910GSM,4000,APMU extended D7 alarm,Warning
8193,GBTS,4168,ARFCN TRX Type Mismatch,Major
268390408,BSC6910GSM,4168,ARFCN TRX Type Mismatch,Major
268390409,BSC6910UMTS,21391,ARP Conflict,Major
268390408,BSC6910GSM,21391,ARP Conflict,Major
268390409,BSC6910UMTS,21406,ARP Detection Failure,Major
268390408,BSC6910GSM,21406,ARP Detection Failure,Major
8193,GBTS,25903,ARP Session Fault,Minor
268390408,BSC6910GSM,25903,ARP Session Fault,Minor
8193,GBTS,3196,ASU Communication alarm,Warning
268390408,BSC6910GSM,3196,ASU Communication alarm,Warning
8193,GBTS,3194,ASU E1 Port alarm,Major
268390408,BSC6910GSM,3194,ASU E1 Port alarm,Major
268390409,BSC6910UMTS,21586,ATM Logical Port Congestion,Minor
268390521,BTS5900,28060,Abis Control Port Fault,Major
268390417,BTS3900,28060,Abis Control Port Fault,Major
100000,OSS,100007,Abnormal Alarm Service Health Check,Major
8193,GBTS,13320,Abnormal Board Temperature Alarm,Minor
268390408,BSC6910GSM,13320,Abnormal Board Temperature Alarm,Minor
100000,OSS,603,Abnormal Counters Over the Limit,Minor
100000,OSS,1060,Abnormal Database Running Status,Major
100000,OSS,101204,Abnormal Deployment of the Primary and Secondary Sites,Major
8193,GBTS,4200,Abnormal Fan Speed,Minor
268390408,BSC6910GSM,4200,Abnormal Fan Speed,Minor
100000,OSS,1078,Abnormal File Replication Between the Local Active and Standby Nodes,Major
8193,GBTS,13322,Abnormal GPS Alarm,Minor
268390408,BSC6910GSM,13322,Abnormal GPS Alarm,Minor
100000,OSS,101201,Abnormal Heartbeat,Critical
100000,OSS,1061,Abnormal Heartbeat Between OSMU and OSS,Major
8193,GBTS,12844,Abnormal IP Clock Link Alarm,Major
268390408,BSC6910GSM,12844,Abnormal IP Clock Link Alarm,Major
268390408,BSC6910GSM,4616,Abnormal IP Clock Link Alarm,Major
268390408,BSC6910GSM,12306,Abnormal IP Clock Link Alarm,Major
8193,GBTS,4616,Abnormal IP Clock Link Alarm,Major
8193,GBTS,12306,Abnormal IP Clock Link Alarm,Major
268390409,BSC6910UMTS,20249,Abnormal Information About DIP Switch of Subrack,Major
268390408,BSC6910GSM,20249,Abnormal Information About DIP Switch of Subrack,Major
100000,OSS,30001100,Abnormal NIC Status,Major
268390408,BSC6910GSM,20051,Abnormal Power Input for a Subrack,Critical
268390409,BSC6910UMTS,20051,Abnormal Power Input for a Subrack,Critical
268390521,BTS5900,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
268390522,BTS5900 LTE,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
268390540,BTS3900 5G,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
8200,BTS3900 LTE,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
125,BTS3900 WCDMA,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
268390523,BTS5900 WCDMA,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
268390526,BTS5900 5G,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
268390417,BTS3900,25732,Abnormal Receiving on OLP Trunk Optical Fiber Port,Major
100000,OSS,101200,Abnormal Replication,Critical
100000,OSS,1045,Abnormal SSH Trust Relationship,Major
8193,GBTS,13100,Abnormal Temperature at the Air Inlet of the Cabinet,Minor
268390408,BSC6910GSM,13100,Abnormal Temperature at the Air Inlet of the Cabinet,Minor
8193,GBTS,13098,Abnormal Temperature at the Air Outlet of the Cabinet,Minor
268390408,BSC6910GSM,13098,Abnormal Temperature at the Air Outlet of the Cabinet,Minor
8193,GBTS,4942,Access Control Alarm,Major
268390408,BSC6910GSM,4942,Access Control Alarm,Major
268390408,BSC6910GSM,20910,Active OMU Communication Excessive Error Packet Rate,Major
268390409,BSC6910UMTS,20910,Active OMU Communication Excessive Error Packet Rate,Major
268390521,BTS5900,26250,Active Workspace Version Unavailable,Major
8193,GBTS,26250,Active Workspace Version Unavailable,Major
268390451,MICRO BTS3900,26250,Active Workspace Version Unavailable,Major
268390523,BTS5900 WCDMA,26250,Active Workspace Version Unavailable,Major
268390522,BTS5900 LTE,26250,Active Workspace Version Unavailable,Major
268390417,BTS3900,26250,Active Workspace Version Unavailable,Major
268390540,BTS3900 5G,26250,Active Workspace Version Unavailable,Major
8200,BTS3900 LTE,26250,Active Workspace Version Unavailable,Major
125,BTS3900 WCDMA,26250,Active Workspace Version Unavailable,Major
268390408,BSC6910GSM,26250,Active Workspace Version Unavailable,Major
268390526,BTS5900 5G,26250,Active Workspace Version Unavailable,Major
268390409,BSC6910UMTS,20702,Active and Standby OMU Communication Link Failure,Minor
268390408,BSC6910GSM,20702,Active and Standby OMU Communication Link Failure,Minor
268390409,BSC6910UMTS,20907,Active/Standby Status Inconsistency Between Built-in NE and Host NE,Major
268390408,BSC6910GSM,20907,Active/Standby Status Inconsistency Between Built-in NE and Host NE,Major
268390408,BSC6910GSM,21603,Adjacent Node Congestion,Major
268390409,BSC6910UMTS,21603,Adjacent Node Congestion,Major
268390409,BSC6910UMTS,21392,Adjacent Node IP Address Ping Failure,Major
268390408,BSC6910GSM,21392,Adjacent Node IP Address Ping Failure,Major
268390409,BSC6910UMTS,21395,Adjacent Node IP Path Excessive Packet Loss Rate,Minor
268390408,BSC6910GSM,21395,Adjacent Node IP Path Excessive Packet Loss Rate,Minor
268390409,BSC6910UMTS,21393,Adjacent Node IP Path Ping Failure,Major
268390408,BSC6910GSM,21393,Adjacent Node IP Path Ping Failure,Major
100000,OSS,100901,Aggregated Alarm,Major
8193,GBTS,2538,Air-Conditioner Protection Alarm,Major
8193,GBTS,8622,Air-Conditioner Protection Alarm,Major
268390408,BSC6910GSM,8622,Air-Conditioner Protection Alarm,Major
268390408,BSC6910GSM,2538,Air-Conditioner Protection Alarm,Major
268390408,BSC6910GSM,2246,Air-conditioner/Heat-exchanger Alarm,Major
8193,GBTS,2246,Air-conditioner/Heat-exchanger Alarm,Major
8193,GBTS,4746,Air-conditioner/heat-exchanger alarm,Major
268390408,BSC6910GSM,4746,Air-conditioner/heat-exchanger alarm,Major
268390408,BSC6910GSM,20740,Alarm Box Disconnected,Minor
268390409,BSC6910UMTS,20740,Alarm Box Disconnected,Minor
100000,OSS,101207,Alarm Receiving Failures Due to Device Disconnection,Critical
100000,OSS,1500,Alarm indicating that more than 30 objects meet the threshold condition in the same period,Major
100000,OSS,781,Alarm indicating that the Trace Server is disconnected from the SAU data channel,Minor
100000,OSS,1502,Alarm indicating that the threshold for Cell activation success rate exceeds the limit,Minor
100000,OSS,1501,Alarm indicating that the threshold for Cell attach success rate exceeds the limit,Minor
100000,OSS,1504,Alarm indicating that the threshold for Cell inter-SGSN RAU success rate exceeds the limit,Minor
100000,OSS,1503,Alarm indicating that the threshold for Cell intra-SGSN RAU success rate exceeds the limit,Minor
100000,OSS,1515,Alarm indicating that the threshold for MME attach success rate exceeds the limit,Minor
100000,OSS,1516,Alarm indicating that the threshold for MME create bearer success rate exceeds the limit,Minor
100000,OSS,1517,Alarm indicating that the threshold for MME inter-MME TAU success rate exceeds the limit,Minor
100000,OSS,1518,Alarm indicating that the threshold for MME intra-MME TAU success rate exceeds the limit,Minor
100000,OSS,1506,Alarm indicating that the threshold for RAI activation success rate exceeds the limit,Minor
100000,OSS,1505,Alarm indicating that the threshold for RAI attach success rate exceeds the limit,Minor
100000,OSS,1508,Alarm indicating that the threshold for RAI inter-SGSN RAU success rate exceeds the limit,Minor
100000,OSS,1507,Alarm indicating that the threshold for RAI intra-SGSN RAU success rate exceeds the limit,Minor
100000,OSS,1510,Alarm indicating that the threshold for SGSN activation success rate exceeds the limit,Minor
100000,OSS,1509,Alarm indicating that the threshold for SGSN attach success rate exceeds the limit,Minor
100000,OSS,1511,Alarm indicating that the threshold for TAI attach success rate exceeds the limit,Minor
100000,OSS,1512,Alarm indicating that the threshold for TAI create bearer success rate exceeds the limit,Minor
100000,OSS,1513,Alarm indicating that the threshold for TAI inter-MME TAU success rate exceeds the limit,Minor
100000,OSS,1514,Alarm indicating that the threshold for TAI intra-MME TAU success rate exceeds the limit,Minor
100000,OSS,122,Alarm of the Failure to Connect the Master and Standby Syslog Servers,Major
100000,OSS,121,Alarm of the Switchover to the Standby Syslog Server,Major
268390408,BSC6910GSM,21838,All Cell Access Barred Under a BSC,Critical
8193,GBTS,13090,Ambient Humidity Abnormal,Minor
268390409,BSC6910UMTS,20046,Ambient Humidity Abnormal,Major
268390408,BSC6910GSM,13090,Ambient Humidity Abnormal,Minor
268390408,BSC6910GSM,20046,Ambient Humidity Abnormal,Major
8193,GBTS,5638,Ambient Humidity Too High,Major
268390408,BSC6910GSM,5638,Ambient Humidity Too High,Major
8193,GBTS,5640,Ambient Humidity Too Low,Major
268390408,BSC6910GSM,5640,Ambient Humidity Too Low,Major
268390521,BTS5900,25651,Ambient Humidity Unacceptable,Minor
8200,BTS3900 LTE,25651,Ambient Humidity Unacceptable,Minor
268390417,BTS3900,25651,Ambient Humidity Unacceptable,Minor
125,BTS3900 WCDMA,25651,Ambient Humidity Unacceptable,Minor
